0,1,2,3,4,5
4,11,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
4,12,14,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
4,13,13,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
4,14,12,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
4,15,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
4,16,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,17,9,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,18,8,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,19,7,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,20,6,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
4,21,5,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,12.0
5,1,25,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
5,2,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,3,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,4,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,5,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,6,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
5,7,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
5,8,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,9,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,10,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
5,11,15,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,12,14,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
5,13,13,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
6,1,35,"{'light': 'green', 'oncoming': None, 'right': 'forward', 'left': None}",right,2.0
6,2,34,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
6,3,33,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
6,4,32,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
6,5,31,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
6,6,30,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
6,7,29,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
6,8,28,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
6,9,27,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
6,10,26,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
6,11,25,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
7,1,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
7,2,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
7,3,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
7,4,17,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
7,5,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
7,6,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
8,1,25,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
8,2,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
8,3,23,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
8,4,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
8,5,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
8,6,20,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
8,7,19,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
8,8,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
8,9,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
8,10,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': 'right'}",right,-0.5
8,11,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
8,12,14,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
8,13,13,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
8,14,12,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
8,15,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
8,16,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
8,17,9,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
8,18,8,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
8,19,7,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
9,1,30,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
9,2,29,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
9,3,28,"{'light': 'green', 'oncoming': None, 'right': 'left', 'left': None}",,0.0
9,4,27,"{'light': 'green', 'oncoming': None, 'right': 'left', 'left': None}",,0.0
9,5,26,"{'light': 'green', 'oncoming': None, 'right': 'left', 'left': None}",,0.0
9,6,25,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
9,7,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
9,8,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
9,9,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
9,10,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
9,11,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
9,12,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
9,13,18,"{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'}",forward,2.0
9,14,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
9,15,16,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
9,16,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
10,1,25,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,2.0
10,2,24,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
10,3,23,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
10,4,22,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
10,5,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
10,6,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
11,1,20,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
11,2,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
11,3,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
11,4,17,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
11,5,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
11,6,15,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
11,7,14,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
11,8,13,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
11,9,12,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
11,10,11,"{'light': 'red', 'oncoming': 'right', 'right': None, 'left': None}",left,-1.0
11,11,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
11,12,9,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
11,13,8,"{'light': 'green', 'oncoming': None, 'right': None, 'left': 'left'}",forward,12.0
12,1,35,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
12,2,34,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
12,3,33,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,12.0
13,1,20,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
13,2,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
